FeatureName,Year,Value,Energy Type,Energy Consuming Sector
Perth and Kinross,2015,0.666,Coal,Public Sector
West Dunbartonshire,2015,202.885,Electricity,Industrial & Commercial
South Ayrshire,2015,1304.847,Gas,All
Midlothian,2015,0,Manufactured Fuels,Industrial
Moray,2015,93.565,Petroleum Products,Industrial
South Ayrshire,2015,21.164,Bioenergy & Wastes,Road Transport
Moray,2015,440.047,Gas,Domestic
South Ayrshire,2015,1098.128,Petroleum Products,All
Midlothian,2015,212.39,Electricity,Industrial & Commercial
Glasgow City,2015,283.783,Petroleum Products,Industrial
East Renfrewshire,2015,2.703,Petroleum Products,Rail
Shetland Islands,2015,0,Gas,All
City of Edinburgh,2015,10175.903,All,All
Glasgow City,2015,5204.432,Gas,All
Glasgow City,2015,1954.014,Electricity,Industrial & Commercial
South Ayrshire,2015,2.396,Manufactured Fuels,Industrial
West Lothian,2015,0,Coal,Rail
Perth and Kinross,2015,100.255,Petroleum Products,Industrial
Midlothian,2015,358.683,Electricity,All
South Ayrshire,2015,1181.808,All,Industrial & Commercial
Midlothian,2015,72.57,Gas,Commercial
Glasgow City,2015,3171.735,All,Transport
Renfrewshire,2015,1155.301,Petroleum Products,Road Transport
South Ayrshire,2015,158.914,Electricity,Industrial
Shetland Islands,2015,9.892,Coal,All
Orkney Islands,2015,1.098,Bioenergy & Wastes,Industrial
City of Edinburgh,2015,74.027,Bioenergy & Wastes,Road Transport
Shetland Islands,2015,3.044,Bioenergy & Wastes,Commercial
Perth and Kinross,2015,1271.333,All,Domestic
North Ayrshire,2015,1.647,Petroleum Products,Commercial
South Ayrshire,2015,2953.518,All,All
North Lanarkshire,2015,2741.814,All,Transport
Angus,2015,198.103,Gas,Industrial
East Renfrewshire,2015,36.484,Electricity,Commercial
East Lothian,2015,0,Coal,Rail
Fife,2015,297.7,Bioenergy & Wastes,All
Aberdeen City,2015,21.608,Petroleum Products,Domestic
Clackmannanshire,2015,0.077,Petroleum Products,Public Sector
Aberdeen City,2015,19.432,Bioenergy & Wastes,Commercial
Stirling,2015,285.667,Electricity,Industrial & Commercial
Aberdeen City,2015,550.574,Gas,Industrial
Argyll and Bute,2015,13.7,Bioenergy & Wastes,Commercial
Fife,2015,0.269,Coal,Commercial
Midlothian,2015,14.278,Bioenergy & Wastes,Road Transport
East Dunbartonshire,2015,76.446,Gas,Industrial
Angus,2015,13.91,Bioenergy & Wastes,Domestic
Perth and Kinross,2015,203.652,Petroleum Products,Domestic
Aberdeen City,2015,3.081,Petroleum Products,Commercial
Fife,2015,13.617,Coal,All
Aberdeen City,2015,1083.036,All,Transport
Na h-Eileanan Siar,2015,0.214,Coal,Commercial
Moray,2015,1978.33,All,Industrial & Commercial
South Ayrshire,2015,6.138,Coal,All
Renfrewshire,2015,1324.787,Petroleum Products,All
Shetland Islands,2015,0,Gas,Industrial
Moray,2015,1850.643,Gas,All
Shetland Islands,2015,44.432,Electricity,Commercial
West Dunbartonshire,2015,510.196,All,Industrial & Commercial
Glasgow City,2015,3410.752,Petroleum Products,All
City of Edinburgh,2015,4578.979,Gas,All
Midlothian,2015,9.18,Petroleum Products,Rail
Angus,2015,0.19,Coal,Commercial
South Ayrshire,2015,1.948,Petroleum Products,Commercial
Midlothian,2015,5.019,Bioenergy & Wastes,Industrial
South Ayrshire,2015,127.853,Electricity,Commercial
East Lothian,2015,3.273,Coal,Domestic
East Lothian,2015,18.93,Bioenergy & Wastes,Road Transport
North Ayrshire,2015,1060.84,All,Domestic
City of Edinburgh,2015,23.919,Coal,Industrial
City of Edinburgh,2015,20.094,Petroleum Products,Domestic
Midlothian,2015,84.723,Gas,Industrial
East Renfrewshire,2015,0.864,Coal,Domestic
West Dunbartonshire,2015,140.258,Gas,Industrial
North Ayrshire,2015,38.216,Petroleum Products,Domestic
Perth and Kinross,2015,2563.393,Petroleum Products,All
Angus,2015,958.575,All,Domestic
City of Edinburgh,2015,3697.448,All,Industrial & Commercial
Midlothian,2015,459.155,All,Industrial & Commercial
Midlothian,2015,476.094,Gas,Domestic
West Lothian,2015,1395.406,All,Industrial & Commercial
Perth and Kinross,2015,3.14,Petroleum Products,Commercial
Shetland Islands,2015,0.26,Manufactured Fuels,Industrial
Perth and Kinross,2015,160.554,Petroleum Products,Agriculture
West Lothian,2015,2.348,Petroleum Products,Commercial
East Lothian,2015,33.527,Petroleum Products,Rail
Moray,2015,192.428,Electricity,Domestic
South Lanarkshire,2015,1700.825,All,Industrial & Commercial
Angus,2015,5.021,Manufactured Fuels,Domestic
City of Edinburgh,2015,27.535,Coal,All
Inverclyde,2015,345.489,Electricity,All
South Lanarkshire,2015,1267.468,Electricity,All
South Lanarkshire,2015,2389.95,Petroleum Products,Road Transport
Inverclyde,2015,193.053,Electricity,Industrial & Commercial
City of Edinburgh,2015,1526.215,Electricity,Industrial & Commercial
Inverclyde,2015,0.492,Coal,Domestic
Glasgow City,2015,1082.831,Electricity,Industrial
Inverclyde,2015,0,Coal,Agriculture
Fife,2015,86.578,Petroleum Products,Rail
Inverclyde,2015,0.036,Coal,Commercial
Shetland Islands,2015,55.226,Electricity,Industrial
Scottish Borders,2015,143.218,Electricity,Commercial
North Lanarkshire,2015,2237.214,All,Industrial & Commercial
Midlothian,2015,665.895,All,Domestic
North Ayrshire,2015,681.989,Bioenergy & Wastes,Industrial
Perth and Kinross,2015,0.498,Petroleum Products,Public Sector
Midlothian,2015,94.693,Electricity,Commercial
South Ayrshire,2015,4.111,Manufactured Fuels,Domestic
Midlothian,2015,117.697,Electricity,Industrial
Shetland Islands,2015,5.288,Bioenergy & Wastes,Domestic
East Lothian,2015,433.052,Coal,All
West Lothian,2015,567.892,Electricity,Industrial & Commercial
North Ayrshire,2015,3.021,Manufactured Fuels,Domestic
Perth and Kinross,2015,1005.615,Gas,All
East Renfrewshire,2015,165.376,Electricity,Domestic
Scottish Borders,2015,0.389,Petroleum Products,Public Sector
Inverclyde,2015,152.437,Electricity,Domestic
Angus,2015,169.687,Gas,Commercial
South Ayrshire,2015,0.29,Coal,Commercial
Glasgow City,2015,13.024,Petroleum Products,Rail
Orkney Islands,2015,10.818,Bioenergy & Wastes,All
South Lanarkshire,2015,356.538,Electricity,Industrial
East Lothian,2015,525.542,Gas,Domestic
Orkney Islands,2015,111.693,All,Transport
South Lanarkshire,2015,22.346,Coal,All
City of Edinburgh,2015,0,Coal,Rail
Inverclyde,2015,0,Coal,Industrial
Perth and Kinross,2015,390.233,Electricity,Industrial & Commercial
Renfrewshire,2015,1.535,Manufactured Fuels,All
Inverclyde,2015,0.546,Coal,All
Inverclyde,2015,7.481,Petroleum Products,Agriculture
East Ayrshire,2015,460.266,Electricity,All
Inverclyde,2015,0.161,Petroleum Products,Rail
East Lothian,2015,150.144,Electricity,Industrial
East Renfrewshire,2015,0,Bioenergy & Wastes,Commercial
City of Edinburgh,2015,2729.362,Petroleum Products,Road Transport
Inverclyde,2015,445.328,All,Transport
East Ayrshire,2015,127.726,Bioenergy & Wastes,Industrial
City of Edinburgh,2015,9.568,Bioenergy & Wastes,Industrial
Fife,2015,12131.842,All,All
Fife,2015,0,Coal,Rail
South Lanarkshire,2015,4.236,Coal,Domestic
Inverclyde,2015,1.246,Manufactured Fuels,Domestic
Glasgow City,2015,2.072,Manufactured Fuels,Domestic
Glasgow City,2015,0,Coal,Rail
Shetland Islands,2015,2.51,Bioenergy & Wastes,Industrial
South Lanarkshire,2015,17.354,Coal,Industrial
Perth and Kinross,2015,216.251,Electricity,Industrial
Orkney Islands,2015,339.965,Petroleum Products,All
Orkney Islands,2015,5.504,Bioenergy & Wastes,Domestic
North Lanarkshire,2015,0.613,Petroleum Products,Public Sector
East Ayrshire,2015,154.941,Bioenergy & Wastes,Commercial
West Lothian,2015,1017.696,Gas,Domestic
Renfrewshire,2015,3715.229,All,All
West Lothian,2015,3.741,Manufactured Fuels,Domestic
Angus,2015,0.208,Petroleum Products,Public Sector
Glasgow City,2015,0,Coal,Commercial
Moray,2015,0.301,Coal,Commercial
Glasgow City,2015,3076.068,Petroleum Products,Road Transport
South Ayrshire,2015,0,Coal,Agriculture
Moray,2015,759.79,Gas,Industrial
South Ayrshire,2015,4.677,Petroleum Products,Rail
West Lothian,2015,126.929,Petroleum Products,Industrial
West Lothian,2015,1365.694,All,Domestic
East Lothian,2015,51.16,Petroleum Products,Domestic
East Lothian,2015,108.723,Gas,Industrial
Glasgow City,2015,1054.705,Electricity,Domestic
East Renfrewshire,2015,1.905,Manufactured Fuels,All
Midlothian,2015,34.004,Bioenergy & Wastes,All
Renfrewshire,2015,31.258,Bioenergy & Wastes,Road Transport
North Ayrshire,2015,627.111,All,Transport
South Ayrshire,2015,958.896,All,Domestic
Moray,2015,0.777,Coal,Rail
Renfrewshire,2015,1186.493,All,Industrial & Commercial
North Lanarkshire,2015,366.937,Electricity,Commercial
Moray,2015,12.6,Coal,All
South Ayrshire,2015,0.128,Coal,Public Sector
North Ayrshire,2015,3563.635,All,Industrial & Commercial
Renfrewshire,2015,0,Bioenergy & Wastes,Commercial
Moray,2015,650.806,Gas,Commercial
East Renfrewshire,2015,247.207,Electricity,All
Moray,2015,77.107,Bioenergy & Wastes,All
West Lothian,2015,1467.377,All,Transport
West Lothian,2015,0.515,Petroleum Products,Public Sector
Glasgow City,2015,1100.132,Gas,Commercial
West Dunbartonshire,2015,0.022,Coal,Public Sector
South Ayrshire,2015,2.837,Coal,Industrial
Renfrewshire,2015,0,Bioenergy & Wastes,Industrial
East Renfrewshire,2015,0,Coal,Rail
Angus,2015,14.897,Coal,All
Moray,2015,8.388,Petroleum Products,Rail
South Ayrshire,2015,0,Coal,Rail
East Renfrewshire,2015,45.347,Electricity,Industrial
East Renfrewshire,2015,0,Manufactured Fuels,Industrial
North Lanarkshire,2015,2993.219,Gas,All
West Lothian,2015,0.094,Coal,Public Sector
Midlothian,2015,0.387,Coal,Public Sector
South Ayrshire,2015,6.506,Manufactured Fuels,All
South Ayrshire,2015,786.974,Petroleum Products,Road Transport
Perth and Kinross,2015,7.722,Manufactured Fuels,Domestic
South Ayrshire,2015,2.882,Coal,Domestic
Angus,2015,10.615,Coal,Industrial
South Ayrshire,2015,64.451,Petroleum Products,Domestic
South Ayrshire,2015,812.814,All,Transport
Moray,2015,4.822,Coal,Domestic
City of Edinburgh,2015,0,Coal,Agriculture
East Renfrewshire,2015,22.264,Bioenergy & Wastes,All
Perth and Kinross,2015,7.722,Manufactured Fuels,All
City of Edinburgh,2015,53.93,Petroleum Products,Rail
Perth and Kinross,2015,52.798,Bioenergy & Wastes,Road Transport
South Ayrshire,2015,137.286,Petroleum Products,Industrial
Midlothian,2015,0.297,Petroleum Products,Public Sector
Perth and Kinross,2015,675.568,Gas,Domestic
South Ayrshire,2015,0,Bioenergy & Wastes,Industrial
Scottish Borders,2015,588.666,Electricity,All
Angus,2015,3.834,Coal,Domestic
City of Edinburgh,2015,2432.206,Electricity,All
West Lothian,2015,28.545,Petroleum Products,Agriculture
Midlothian,2015,30.051,Petroleum Products,Domestic
Moray,2015,15.604,Bioenergy & Wastes,Road Transport
South Ayrshire,2015,33.021,Bioenergy & Wastes,All
East Lothian,2015,197.422,Electricity,Domestic
City of Edinburgh,2015,876.73,Gas,Commercial
West Lothian,2015,314.702,Electricity,Industrial
Angus,2015,957.344,All,Transport
Midlothian,2015,525.085,Petroleum Products,Road Transport
East Renfrewshire,2015,584.496,Petroleum Products,Road Transport
Moray,2015,25.522,Bioenergy & Wastes,Commercial
Clackmannanshire,2015,343.893,Gas,Commercial
Stirling,2015,264.929,Bioenergy & Wastes,Industrial
Shetland Islands,2015,158.481,Petroleum Products,Road Transport
Renfrewshire,2015,0,Coal,Rail
East Ayrshire,2015,256.314,Electricity,Industrial & Commercial
East Renfrewshire,2015,47.407,Gas,Commercial
City of Edinburgh,2015,204.791,Petroleum Products,Industrial
Shetland Islands,2015,2.064,Coal,Domestic
Aberdeen City,2015,320.781,Petroleum Products,Industrial
Inverclyde,2015,0.46,Petroleum Products,Public Sector
Fife,2015,5.581,Petroleum Products,Commercial
Aberdeen City,2015,1234.071,Electricity,All
Inverclyde,2015,4.289,Bioenergy & Wastes,Domestic
Stirling,2015,4.074,Manufactured Fuels,Domestic
East Renfrewshire,2015,12.763,Petroleum Products,Industrial
Aberdeen City,2015,16.019,Bioenergy & Wastes,Industrial
Fife,2015,98.453,Petroleum Products,Domestic
East Ayrshire,2015,114.276,Electricity,Commercial
West Dunbartonshire,2015,0,Coal,Agriculture
Inverclyde,2015,17.058,Petroleum Products,Industrial
Shetland Islands,2015,245.486,All,Industrial & Commercial
Moray,2015,0,Coal,Agriculture
Fife,2015,662.448,Electricity,Domestic
Highland,2015,15.454,Coal,Domestic
Argyll and Bute,2015,0.374,Manufactured Fuels,Industrial
Orkney Islands,2015,0.367,Petroleum Products,Public Sector
Stirling,2015,10.774,Bioenergy & Wastes,Domestic
Orkney Islands,2015,6.224,Coal,All
Renfrewshire,2015,0,Coal,Agriculture
Glasgow City,2015,6.534,Bioenergy & Wastes,Domestic
West Dunbartonshire,2015,0.228,Manufactured Fuels,Industrial
East Renfrewshire,2015,9.533,Petroleum Products,Domestic
Moray,2015,1.449,Petroleum Products,Commercial
North Lanarkshire,2015,1937.846,Gas,Domestic
Inverclyde,2015,465.296,Gas,Domestic
Moray,2015,922.924,Petroleum Products,All
Fife,2015,1.157,Coal,Public Sector
Highland,2015,56.146,Coal,Industrial
Stirling,2015,0.91,Manufactured Fuels,Industrial
Highland,2015,296.646,Gas,Commercial
Fife,2015,625.139,Gas,Industrial
East Ayrshire,2015,38.847,Petroleum Products,Domestic
North Ayrshire,2015,2.978,Coal,All
Stirling,2015,395.245,Gas,Industrial
North Lanarkshire,2015,3029.295,Petroleum Products,All
East Renfrewshire,2015,625.171,Petroleum Products,All
Highland,2015,3445.401,Petroleum Products,All
West Lothian,2015,13.8,Petroleum Products,Rail
East Renfrewshire,2015,0,Coal,Industrial
City of Edinburgh,2015,2678.702,Gas,Domestic
Glasgow City,2015,11718.188,All,All
Orkney Islands,2015,0,Gas,All
East Renfrewshire,2015,819.14,All,Domestic
Scottish Borders,2015,2.344,Petroleum Products,Commercial
Clackmannanshire,2015,1041.855,Gas,All
North Lanarkshire,2015,96.828,Bioenergy & Wastes,All
Fife,2015,2218.431,Gas,Domestic
Clackmannanshire,2015,0,Coal,Industrial
Shetland Islands,2015,202.108,Electricity,All
Argyll and Bute,2015,314.303,Gas,Domestic
Inverclyde,2015,106.982,Electricity,Industrial
Aberdeen City,2015,33.629,Coal,All
East Dunbartonshire,2015,1.277,Coal,Domestic
West Lothian,2015,306.206,Gas,Commercial
North Ayrshire,2015,453.612,Electricity,Industrial & Commercial
West Dunbartonshire,2015,1.452,Bioenergy & Wastes,Domestic
Inverclyde,2015,0,Coal,Rail
Fife,2015,4278.184,Petroleum Products,Industrial
Clackmannanshire,2015,1.107,Coal,Domestic
Inverclyde,2015,0.017,Coal,Public Sector
Argyll and Bute,2015,0,Coal,Rail
Inverclyde,2015,83.701,Gas,Commercial
Clackmannanshire,2015,291.575,Petroleum Products,All
Angus,2015,23.731,Bioenergy & Wastes,Road Transport
Shetland Islands,2015,6.814,Coal,Industrial
East Ayrshire,2015,80.287,Coal,All
Highland,2015,8.768,Petroleum Products,Commercial
Stirling,2015,968.219,Petroleum Products,Road Transport
Clackmannanshire,2015,22.063,Petroleum Products,Industrial
Highland,2015,409.082,Electricity,Commercial
Fife,2015,1630.403,Electricity,All
City of Edinburgh,2015,0.163,Manufactured Fuels,Industrial
West Lothian,2015,357.484,Gas,Industrial
Fife,2015,112.151,Bioenergy & Wastes,Commercial
Stirling,2015,338.551,Gas,Commercial
Inverclyde,2015,464.331,Petroleum Products,All
West Lothian,2015,0,Bioenergy & Wastes,Commercial
Fife,2015,3031.643,All,Domestic
Fife,2015,967.955,Electricity,Industrial & Commercial
Moray,2015,515.803,Electricity,All
East Ayrshire,2015,4.492,Coal,Domestic
West Dunbartonshire,2015,0,Coal,Industrial
Inverclyde,2015,16.277,Bioenergy & Wastes,All
Na h-Eileanan Siar,2015,0,Coal,Rail
Inverclyde,2015,97.717,Gas,Industrial
Glasgow City,2015,1.889,Manufactured Fuels,Industrial
Clackmannanshire,2015,0.036,Coal,Public Sector
Clackmannanshire,2015,0,Bioenergy & Wastes,Industrial
Glasgow City,2015,82.643,Bioenergy & Wastes,Road Transport
Aberdeen City,2015,3.831,Manufactured Fuels,Domestic
Aberdeen City,2015,1355.543,Gas,Domestic
City of Edinburgh,2015,11.607,Bioenergy & Wastes,Commercial
Stirling,2015,1172.896,Petroleum Products,All
Shetland Islands,2015,15.062,Bioenergy & Wastes,All
Highland,2015,3.776,Coal,Public Sector
East Ayrshire,2015,997.423,All,Domestic
Angus,2015,123.916,Petroleum Products,Domestic
Shetland Islands,2015,0,Gas,Commercial
Stirling,2015,189.197,Electricity,Domestic
East Ayrshire,2015,320.76,Bioenergy & Wastes,All
Aberdeen City,2015,29.966,Coal,Industrial
Glasgow City,2015,0,Coal,Public Sector
Fife,2015,6774.937,Petroleum Products,All
Stirling,2015,1730.77,All,Industrial & Commercial
Clackmannanshire,2015,0.022,Coal,Commercial
East Renfrewshire,2015,213.023,All,Industrial & Commercial
Stirling,2015,127.363,Electricity,Commercial
Scottish Borders,2015,25.746,Bioenergy & Wastes,Road Transport
Shetland Islands,2015,176.383,All,Domestic
Angus,2015,895.04,Petroleum Products,Road Transport
Aberdeen City,2015,11.316,Petroleum Products,Agriculture
East Dunbartonshire,2015,41.609,Petroleum Products,Industrial
Angus,2015,5.021,Manufactured Fuels,All
Highland,2015,346.322,Gas,Industrial
Fife,2015,0,Coal,Agriculture
Fife,2015,2216.496,Petroleum Products,Road Transport
Moray,2015,5.702,Manufactured Fuels,All
Moray,2015,91.884,Petroleum Products,Agriculture
Scottish Borders,2015,0.376,Coal,Public Sector
East Renfrewshire,2015,6.354,Bioenergy & Wastes,Domestic
East Lothian,2015,727.394,Gas,All
East Lothian,2015,1151.63,All,Industrial & Commercial
Inverclyde,2015,1.556,Manufactured Fuels,All
Highland,2015,1587.519,Electricity,All
Stirling,2015,1219.714,Gas,All
Inverclyde,2015,628.895,All,Domestic
East Dunbartonshire,2015,0.101,Coal,Industrial
Shetland Islands,2015,0.336,Coal,Commercial
Shetland Islands,2015,102.45,Electricity,Domestic
City of Edinburgh,2015,3.702,Manufactured Fuels,Domestic
Highland,2015,1065.33,Bioenergy & Wastes,All
East Dunbartonshire,2015,17.538,Bioenergy & Wastes,All
Highland,2015,1232.198,Gas,All
Fife,2015,2363.034,All,Transport
Stirling,2015,757.223,All,Domestic
West Lothian,2015,37.712,Bioenergy & Wastes,Road Transport
Inverclyde,2015,0.31,Manufactured Fuels,Industrial
Scottish Borders,2015,6.844,Manufactured Fuels,All
Angus,2015,0.24,Coal,Public Sector
Clackmannanshire,2015,1.164,Coal,All
Shetland Islands,2015,355.074,Petroleum Products,All
Moray,2015,323.375,Electricity,Industrial & Commercial
Clackmannanshire,2015,0,Bioenergy & Wastes,Commercial
Stirling,2015,474.865,Electricity,All
Stirling,2015,485.918,Gas,Domestic
Clackmannanshire,2015,256.492,All,Transport
Aberdeen City,2015,1823.035,All,Domestic
Inverclyde,2015,646.714,Gas,All
Clackmannanshire,2015,11.666,Bioenergy & Wastes,All
Aberdeen City,2015,471.6,Gas,Commercial
Shetland Islands,2015,64.407,Petroleum Products,Domestic
Highland,2015,603.245,Petroleum Products,Domestic
Stirling,2015,1013.075,All,Transport
Clackmannanshire,2015,1000.384,All,Industrial & Commercial
East Lothian,2015,0,Coal,Agriculture
Inverclyde,2015,0,Bioenergy & Wastes,Commercial
Clackmannanshire,2015,401.481,Gas,Industrial
East Lothian,2015,182.76,Bioenergy & Wastes,All
East Dunbartonshire,2015,0,Bioenergy & Wastes,Commercial
East Dunbartonshire,2015,12.189,Bioenergy & Wastes,Road Transport
Fife,2015,4.394,Coal,Industrial
Renfrewshire,2015,0.811,Coal,Domestic
East Dunbartonshire,2015,1778.033,All,All
West Lothian,2015,1616.296,Petroleum Products,All
Glasgow City,2015,89.177,Bioenergy & Wastes,All
Stirling,2015,4.984,Manufactured Fuels,All
Shetland Islands,2015,65.593,Petroleum Products,Industrial
Shetland Islands,2015,65.073,Petroleum Products,Agriculture
East Renfrewshire,2015,603.11,All,Transport
Clackmannanshire,2015,91.614,Electricity,Domestic
Stirling,2015,321.38,Bioenergy & Wastes,Commercial
Renfrewshire,2015,0,Coal,Industrial
Inverclyde,2015,400.69,All,Industrial & Commercial
Stirling,2015,158.305,Electricity,Industrial
Inverclyde,2015,1474.912,All,All
City of Edinburgh,2015,3.865,Manufactured Fuels,All
East Dunbartonshire,2015,439.455,Petroleum Products,Road Transport
East Lothian,2015,468.363,Electricity,All
City of Edinburgh,2015,9.291,Bioenergy & Wastes,Domestic
Shetland Islands,2015,0.254,Petroleum Products,Public Sector
Angus,2015,0,Coal,Agriculture
Stirling,2015,25.766,Bioenergy & Wastes,Road Transport
Shetland Islands,2015,1.265,Petroleum Products,Commercial
North Lanarkshire,2015,0.495,Bioenergy & Wastes,Commercial
Fife,2015,3379.04,Gas,All
East Lothian,2015,793.547,All,Domestic
Clackmannanshire,2015,6.815,Bioenergy & Wastes,Road Transport
Stirling,2015,19.091,Petroleum Products,Rail
Clackmannanshire,2015,249.427,Petroleum Products,Road Transport
West Dunbartonshire,2015,646.817,All,Domestic
Stirling,2015,63.867,Petroleum Products,Domestic
Stirling,2015,3501.069,All,All
Clackmannanshire,2015,0,Coal,Agriculture
West Lothian,2015,49.732,Bioenergy & Wastes,All
North Lanarkshire,2015,32.882,Petroleum Products,Domestic
North Ayrshire,2015,608.196,Petroleum Products,Road Transport
East Renfrewshire,2015,0,Coal,Public Sector
Angus,2015,46.319,Bioenergy & Wastes,All
Aberdeen City,2015,28.673,Bioenergy & Wastes,Road Transport
Glasgow City,2015,4648.232,All,Industrial & Commercial
East Lothian,2015,0.155,Petroleum Products,Public Sector
Clackmannanshire,2015,4.851,Bioenergy & Wastes,Domestic
Inverclyde,2015,5.136,Petroleum Products,Domestic
Fife,2015,536.399,Electricity,Industrial
Glasgow City,2015,1.146,Coal,Domestic
Angus,2015,38.555,Petroleum Products,Rail
Aberdeen City,2015,1.457,Coal,Domestic
Clackmannanshire,2015,9.364,Petroleum Products,Domestic
Fife,2015,87.66,Petroleum Products,Agriculture
Renfrewshire,2015,0.043,Coal,Commercial
Highland,2015,3.059,Coal,Commercial
Clackmannanshire,2015,1661.943,All,All
Aberdeen City,2015,10.816,Petroleum Products,Rail
Na h-Eileanan Siar,2015,388.755,Petroleum Products,All
East Dunbartonshire,2015,8.932,Petroleum Products,Domestic
West Lothian,2015,0.07,Coal,Commercial
Clackmannanshire,2015,3.818,Manufactured Fuels,All
Clackmannanshire,2015,2.168,Manufactured Fuels,Industrial
East Renfrewshire,2015,635.108,Gas,Domestic
North Lanarkshire,2015,486.917,Gas,Commercial
North Ayrshire,2015,0,Coal,Agriculture
East Dunbartonshire,2015,76.781,Electricity,Commercial
Shetland Islands,2015,584.57,All,All
East Lothian,2015,704.876,Petroleum Products,Road Transport
Glasgow City,2015,1.146,Coal,All
Orkney Islands,2015,2.947,Coal,Industrial
Stirling,2015,2.083,Petroleum Products,Commercial
Glasgow City,2015,0,Bioenergy & Wastes,Industrial
Orkney Islands,2015,30.839,Petroleum Products,Industrial
Highland,2015,17.404,Manufactured Fuels,Domestic
West Lothian,2015,5.29,Manufactured Fuels,Industrial
Stirling,2015,0,Coal,Agriculture
Fife,2015,59.961,Bioenergy & Wastes,Road Transport
Stirling,2015,0.389,Coal,Commercial
Clackmannanshire,2015,122.053,Electricity,Industrial
Aberdeen City,2015,447.075,Electricity,Industrial
Clackmannanshire,2015,0,Coal,Rail
Stirling,2015,0.234,Coal,Public Sector
City of Edinburgh,2015,10.227,Petroleum Products,Agriculture
Highland,2015,0,Coal,Agriculture
East Ayrshire,2015,729.109,Gas,Domestic
East Ayrshire,2015,0,Coal,Rail
Stirling,2015,62.838,Petroleum Products,Agriculture
Highland,2015,529.463,Bioenergy & Wastes,Commercial
Stirling,2015,0,Coal,Rail
Stirling,2015,55.976,Petroleum Products,Industrial
West Lothian,2015,1415.865,Petroleum Products,Road Transport
East Dunbartonshire,2015,95.434,Electricity,Industrial
Angus,2015,110.363,Petroleum Products,Industrial
Orkney Islands,2015,0.875,Coal,Public Sector
Stirling,2015,3.393,Coal,Domestic
East Renfrewshire,2015,1635.274,All,All
East Ayrshire,2015,0,Manufactured Fuels,Industrial
Stirling,2015,5.762,Coal,All
Fife,2015,92.452,Bioenergy & Wastes,Industrial
Fife,2015,36.145,Manufactured Fuels,All
Highland,2015,53.724,Petroleum Products,Rail
East Renfrewshire,2015,81.831,Electricity,Industrial & Commercial
Clackmannanshire,2015,296.482,Gas,Domestic
Angus,2015,554.971,Gas,Domestic
