FeatureName,Year,Births,Deaths,Mortality Rate
North Lanarkshire,2017,"3,558",51,14.33389545
Orkney Islands,2017,184,0,0
Perth and Kinross,2017,"1,210",22,18.18181818
Renfrewshire,2017,"1,794",29,16.16499443
Scottish Borders,2017,989,15,15.16683519
Shetland Islands,2017,218,4,18.34862385
South Ayrshire,2017,937,19,20.27748132
South Lanarkshire,2017,"3,205",28,8.736349454
Stirling,2017,804,13,16.16915423
West Dunbartonshire,2017,891,9,10.1010101
West Lothian,2017,"1,926",14,7.268951194
Aberdeen City,2018,"2,337",25,10.6974754
Aberdeenshire,2018,"2,697",24,8.898776418
Angus,2018,964,12,12.44813278
Argyll and Bute,2018,648,4,6.172839506
City of Edinburgh,2018,"4,899",83,16.94223311
Clackmannanshire,2018,465,3,6.451612903
Dumfries and Galloway,2018,"1,198",12,10.01669449
Dundee City,2018,"1,488",32,21.50537634
East Ayrshire,2018,"1,176",12,10.20408163
East Dunbartonshire,2018,950,14,14.73684211
East Lothian,2018,"1,020",16,15.68627451
East Renfrewshire,2018,854,8,9.367681499
Falkirk,2018,"1,493",13,8.707300737
Fife,2018,"3,479",47,13.5096292
Glasgow City,2018,"6,548",90,13.74465486
Highland,2018,"2,005",25,12.46882793
Inverclyde,2018,689,6,8.708272859
Midlothian,2018,"1,075",13,12.09302326
Moray,2018,825,11,13.33333333
Na h-Eileanan Siar,2018,206,0,0
North Ayrshire,2018,"1,125",6,5.333333333
North Lanarkshire,2018,"3,387",24,7.08591674
Orkney Islands,2018,186,0,0
Perth and Kinross,2018,"1,217",14,11.50369762
Renfrewshire,2018,"1,697",13,7.66057749
Scottish Borders,2018,984,14,14.22764228
Shetland Islands,2018,215,0,0
South Ayrshire,2018,932,8,8.583690987
South Lanarkshire,2018,"3,153",54,17.12654615
Stirling,2018,757,4,5.284015852
West Dunbartonshire,2018,885,8,9.039548023
West Lothian,2018,"1,754",22,12.54275941
Aberdeen City,2019,"2,260",21,9.292035398
Aberdeenshire,2019,"2,400",33,13.75
Angus,2019,965,7,7.25388601
Argyll and Bute,2019,631,9,14.26307448
City of Edinburgh,2019,"4,683",65,13.87999146
Clackmannanshire,2019,414,6,14.49275362
Dumfries and Galloway,2019,"1,153",16,13.87684302
Dundee City,2019,"1,417",32,22.58292167
East Ayrshire,2019,"1,176",10,8.503401361
East Dunbartonshire,2019,910,7,7.692307692
East Lothian,2019,973,5,5.138746146
East Renfrewshire,2019,808,7,8.663366337
Falkirk,2019,"1,460",15,10.2739726
Fife,2019,"3,325",70,21.05263158
Glasgow City,2019,"6,553",93,14.19197314
Highland,2019,"1,966",12,6.103763988
Inverclyde,2019,615,4,6.504065041
Midlothian,2019,"1,057",4,3.784295175
Moray,2019,816,7,8.578431373
Na h-Eileanan Siar,2019,200,0,0
North Ayrshire,2019,"1,124",16,14.23487544
North Lanarkshire,2019,"3,438",40,11.63467132
Orkney Islands,2019,182,0,0
Perth and Kinross,2019,"1,197",15,12.53132832
Renfrewshire,2019,"1,693",27,15.94802126
Scottish Borders,2019,916,6,6.550218341
Shetland Islands,2019,205,2,9.756097561
South Ayrshire,2019,837,5,5.973715651
South Lanarkshire,2019,"3,109",21,6.754583467
Stirling,2019,737,10,13.56852103
West Dunbartonshire,2019,845,14,16.56804734
West Lothian,2019,"1,798",18,10.01112347
Aberdeen City,2020,"2,007",26,12.95465869
Aberdeenshire,2020,"2,287",24,10.49409707
Angus,2020,860,30,34.88372093
Argyll and Bute,2020,592,12,20.27027027
City of Edinburgh,2020,"4,548",55,12.09322779
Clackmannanshire,2020,444,4,9.009009009
Dumfries and Galloway,2020,"1,137",6,5.277044855
Dundee City,2020,"1,287",16,12.43201243
East Ayrshire,2020,"1,113",10,8.984725966
East Dunbartonshire,2020,884,13,14.70588235
East Lothian,2020,960,12,12.5
East Renfrewshire,2020,797,6,7.528230866
Falkirk,2020,"1,432",20,13.96648045
Fife,2020,"3,144",49,15.58524173
Glasgow City,2020,"5,867",80,13.63558889
Highland,2020,"1,866",26,13.9335477
Inverclyde,2020,615,8,13.00813008
Midlothian,2020,979,3,3.064351379
Moray,2020,855,10,11.69590643
Na h-Eileanan Siar,2020,183,4,21.8579235
North Ayrshire,2020,"1,107",10,9.033423668
North Lanarkshire,2020,"3,051",51,16.71583088
Orkney Islands,2020,183,0,0
Perth and Kinross,2020,"1,186",12,10.11804384
Renfrewshire,2020,"1,539",20,12.99545159
Scottish Borders,2020,845,11,13.01775148
Shetland Islands,2020,176,0,0
South Ayrshire,2020,817,11,13.46389229
South Lanarkshire,2020,"2,918",52,17.82042495
Stirling,2020,696,7,10.05747126
West Dunbartonshire,2020,771,8,10.37613489
West Lothian,2020,"1,663",15,9.019843656
