"FeatureName","Energy.Type","mean_consumption"
"North Lanarkshire","Coal",3.73
"North Lanarkshire","Electricity",1323.96
"North Lanarkshire","Gas",2939.25
"North Lanarkshire","Manufactured Fuels",26.25
"North Lanarkshire","Petroleum Products",3098.25
"Orkney Islands","Bioenergy & Wastes",15.25
"Orkney Islands","Coal",6.36
"Orkney Islands","Electricity",138.33
"Orkney Islands","Gas",0
"Orkney Islands","Manufactured Fuels",2.39
"Orkney Islands","Petroleum Products",343.07
"Perth and Kinross","Bioenergy & Wastes",105.68
"Perth and Kinross","Coal",16.32
"Perth and Kinross","Electricity",722.21
"Perth and Kinross","Gas",1025.08
"Perth and Kinross","Manufactured Fuels",8.25
"Perth and Kinross","Petroleum Products",2530.55
"Renfrewshire","Bioenergy & Wastes",47.54
"Renfrewshire","Coal",0.81
"Renfrewshire","Electricity",754.06
"Renfrewshire","Gas",1583.97
"Renfrewshire","Manufactured Fuels",1.68
"Renfrewshire","Petroleum Products",1300.19
"Scottish Borders","Bioenergy & Wastes",188.84
"Scottish Borders","Coal",64.06
"Scottish Borders","Electricity",558.43
"Scottish Borders","Gas",790.51
"Scottish Borders","Manufactured Fuels",7.18
"Scottish Borders","Petroleum Products",1542.62
"Shetland Islands","Bioenergy & Wastes",22.45
"Shetland Islands","Coal",7.72
"Shetland Islands","Electricity",187.22
"Shetland Islands","Gas",0
"Shetland Islands","Manufactured Fuels",2.45
"Shetland Islands","Petroleum Products",356.64
"South Ayrshire","Bioenergy & Wastes",43.07
"South Ayrshire","Coal",4.48
"South Ayrshire","Electricity",471.29
"South Ayrshire","Gas",1265.67
"South Ayrshire","Manufactured Fuels",5.74
"South Ayrshire","Petroleum Products",1081.01
"South Lanarkshire","Bioenergy & Wastes",141.39
"South Lanarkshire","Coal",16.54
"South Lanarkshire","Electricity",1158.65
"South Lanarkshire","Gas",2480.55
"South Lanarkshire","Manufactured Fuels",12.73
"South Lanarkshire","Petroleum Products",2927.3
"Stirling","Bioenergy & Wastes",721.38
"Stirling","Coal",5.39
"Stirling","Electricity",456.85
"Stirling","Gas",1221.78
"Stirling","Manufactured Fuels",4.86
"Stirling","Petroleum Products",1167.72
"West Dunbartonshire","Bioenergy & Wastes",19.84
"West Dunbartonshire","Coal",0.18
"West Dunbartonshire","Electricity",336.49
"West Dunbartonshire","Gas",728.15
"West Dunbartonshire","Manufactured Fuels",0.59
"West Dunbartonshire","Petroleum Products",548.94
"West Lothian","Bioenergy & Wastes",66.93
"West Lothian","Coal",2.98
"West Lothian","Electricity",806.6
"West Lothian","Gas",1851.29
"West Lothian","Manufactured Fuels",7.51
"West Lothian","Petroleum Products",1605.85
