"FeatureName","Year","Value","Energy.Type","Energy.Consuming.Sector"
"Aberdeenshire",2017,3765.037,"Petroleum Products","All"
"Aberdeenshire",2017,137.447,"Bioenergy & Wastes","All"
"Aberdeenshire",2017,45.658,"Coal","All"
"Aberdeenshire",2017,23.382,"Manufactured Fuels","All"
"Aberdeenshire",2017,1248.935,"Electricity","All"
"Aberdeenshire",2018,23.845,"Manufactured Fuels","All"
"Aberdeenshire",2018,1217.029,"Electricity","All"
"Aberdeenshire",2018,43.254,"Coal","All"
"Aberdeenshire",2018,1419.351,"Gas","All"
"Aberdeenshire",2018,174.604,"Bioenergy & Wastes","All"
"Aberdeenshire",2018,3672.367,"Petroleum Products","All"
"Aberdeenshire",2019,1192.962,"Electricity","All"
"Aberdeenshire",2019,23.724,"Manufactured Fuels","All"
"Aberdeenshire",2019,209.69,"Bioenergy & Wastes","All"
"Aberdeenshire",2019,1420.033,"Gas","All"
"Aberdeenshire",2019,30.111,"Coal","All"
"Aberdeenshire",2019,3651.28,"Petroleum Products","All"
"Aberdeenshire",2020,215.201,"Bioenergy & Wastes","All"
"Aberdeenshire",2020,3171.179,"Petroleum Products","All"
"Aberdeenshire",2020,30.999,"Coal","All"
"Aberdeenshire",2020,25.41,"Manufactured Fuels","All"
"Aberdeenshire",2020,1473.513,"Gas","All"
"Aberdeenshire",2020,1198.448,"Electricity","All"
"Angus",2015,14.897,"Coal","All"
"Angus",2015,5.021,"Manufactured Fuels","All"
"Angus",2015,46.319,"Bioenergy & Wastes","All"
"Angus",2015,1252.289,"Petroleum Products","All"
"Angus",2015,922.761,"Gas","All"
"Angus",2015,541.506,"Electricity","All"
"Angus",2016,4.898,"Manufactured Fuels","All"
"Angus",2016,514.192,"Electricity","All"
"Angus",2016,893.631,"Gas","All"
"Angus",2016,1263.35,"Petroleum Products","All"
"Angus",2016,13.354,"Coal","All"
"Angus",2016,48.383,"Bioenergy & Wastes","All"
"Angus",2017,12.266,"Coal","All"
"Angus",2017,1289.989,"Petroleum Products","All"
"Angus",2017,520.237,"Electricity","All"
"Angus",2017,55.031,"Bioenergy & Wastes","All"
"Angus",2017,5.449,"Manufactured Fuels","All"
"Angus",2017,919.08,"Gas","All"
"Angus",2018,71.366,"Bioenergy & Wastes","All"
"Angus",2018,5.631,"Manufactured Fuels","All"
"Angus",2018,527.644,"Electricity","All"
"Angus",2018,1271.958,"Petroleum Products","All"
"Angus",2018,917.552,"Gas","All"
"Angus",2018,11.654,"Coal","All"
"Angus",2019,8.81,"Coal","All"
"Angus",2019,5.833,"Manufactured Fuels","All"
"Angus",2019,517.332,"Electricity","All"
"Angus",2019,82.814,"Bioenergy & Wastes","All"
"Angus",2019,881.257,"Gas","All"
"Angus",2019,1240.624,"Petroleum Products","All"
"Angus",2020,5.598,"Manufactured Fuels","All"
"Angus",2020,491.093,"Electricity","All"
"Angus",2020,1043.882,"Petroleum Products","All"
"Angus",2020,8.673,"Coal","All"
"Angus",2020,962.952,"Gas","All"
"Angus",2020,86.921,"Bioenergy & Wastes","All"
"Argyll and Bute",2015,1145.193,"Petroleum Products","All"
"Argyll and Bute",2015,451.315,"Gas","All"
"Argyll and Bute",2015,514.659,"Electricity","All"
"Argyll and Bute",2015,6.448,"Manufactured Fuels","All"
"Argyll and Bute",2015,58.9,"Bioenergy & Wastes","All"
"Argyll and Bute",2015,36.535,"Coal","All"
"Argyll and Bute",2016,452.073,"Gas","All"
"Argyll and Bute",2016,1157.117,"Petroleum Products","All"
"Argyll and Bute",2016,499.148,"Electricity","All"
"Argyll and Bute",2016,6.084,"Manufactured Fuels","All"
"Argyll and Bute",2016,61.398,"Bioenergy & Wastes","All"
"Argyll and Bute",2016,37.304,"Coal","All"
"Argyll and Bute",2017,6.724,"Manufactured Fuels","All"
"Argyll and Bute",2017,35.129,"Coal","All"
"Argyll and Bute",2017,465.108,"Gas","All"
"Argyll and Bute",2017,1180.712,"Petroleum Products","All"
"Argyll and Bute",2017,78.88,"Bioenergy & Wastes","All"
"Argyll and Bute",2017,511.574,"Electricity","All"
"Argyll and Bute",2018,6.921,"Manufactured Fuels","All"
"Argyll and Bute",2018,464.834,"Gas","All"
"Argyll and Bute",2018,505.983,"Electricity","All"
"Argyll and Bute",2018,102.503,"Bioenergy & Wastes","All"
"Argyll and Bute",2018,32.984,"Coal","All"
"Argyll and Bute",2018,1179.061,"Petroleum Products","All"
"Argyll and Bute",2019,21.526,"Coal","All"
"Argyll and Bute",2019,1118.377,"Petroleum Products","All"
"Argyll and Bute",2019,7.009,"Manufactured Fuels","All"
"Argyll and Bute",2019,109.916,"Bioenergy & Wastes","All"
"Argyll and Bute",2019,502.244,"Electricity","All"
"Argyll and Bute",2019,464.385,"Gas","All"
"Argyll and Bute",2020,971.611,"Petroleum Products","All"
"Argyll and Bute",2020,465.02,"Gas","All"
"Argyll and Bute",2020,125.777,"Bioenergy & Wastes","All"
"Argyll and Bute",2020,22.432,"Coal","All"
"Argyll and Bute",2020,480.22,"Electricity","All"
"Argyll and Bute",2020,6.833,"Manufactured Fuels","All"
"City of Edinburgh",2015,3028.826,"Petroleum Products","All"
"City of Edinburgh",2015,4578.979,"Gas","All"
"City of Edinburgh",2015,27.535,"Coal","All"
"City of Edinburgh",2015,2432.206,"Electricity","All"
"City of Edinburgh",2015,3.865,"Manufactured Fuels","All"
"City of Edinburgh",2015,104.493,"Bioenergy & Wastes","All"
"City of Edinburgh",2016,4550.348,"Gas","All"
"City of Edinburgh",2016,106.753,"Bioenergy & Wastes","All"
"City of Edinburgh",2016,3.696,"Manufactured Fuels","All"
"City of Edinburgh",2016,3064.674,"Petroleum Products","All"
"City of Edinburgh",2016,2323.985,"Electricity","All"
"City of Edinburgh",2016,23.056,"Coal","All"
"City of Edinburgh",2017,118.711,"Bioenergy & Wastes","All"
"City of Edinburgh",2017,4.097,"Manufactured Fuels","All"
"City of Edinburgh",2017,20.786,"Coal","All"
"City of Edinburgh",2017,4713.585,"Gas","All"
"City of Edinburgh",2017,3028.715,"Petroleum Products","All"
"City of Edinburgh",2017,2333.823,"Electricity","All"
"City of Edinburgh",2018,157.114,"Bioenergy & Wastes","All"
"City of Edinburgh",2018,4.213,"Manufactured Fuels","All"
"City of Edinburgh",2018,19.588,"Coal","All"
"City of Edinburgh",2018,4659.852,"Gas","All"
"City of Edinburgh",2018,2968.567,"Petroleum Products","All"
"City of Edinburgh",2018,2285.755,"Electricity","All"
"City of Edinburgh",2019,4602.524,"Gas","All"
"City of Edinburgh",2019,2268.726,"Electricity","All"
"City of Edinburgh",2019,2909.64,"Petroleum Products","All"
"City of Edinburgh",2019,14.348,"Coal","All"
"City of Edinburgh",2019,185.108,"Bioenergy & Wastes","All"
"City of Edinburgh",2019,4.274,"Manufactured Fuels","All"
"City of Edinburgh",2020,2031.651,"Electricity","All"
"City of Edinburgh",2020,190.418,"Bioenergy & Wastes","All"
"City of Edinburgh",2020,4677.436,"Gas","All"
"City of Edinburgh",2020,14.122,"Coal","All"
"City of Edinburgh",2020,2260.408,"Petroleum Products","All"
"City of Edinburgh",2020,4.151,"Manufactured Fuels","All"
"Clackmannanshire",2015,1041.855,"Gas","All"
"Clackmannanshire",2015,291.575,"Petroleum Products","All"
"Clackmannanshire",2015,1.164,"Coal","All"
"Clackmannanshire",2015,11.666,"Bioenergy & Wastes","All"
"Clackmannanshire",2015,3.818,"Manufactured Fuels","All"
"Clackmannanshire",2015,311.865,"Electricity","All"
"Clackmannanshire",2016,295.329,"Petroleum Products","All"
"Clackmannanshire",2016,2.315,"Manufactured Fuels","All"
"Clackmannanshire",2016,311.504,"Electricity","All"
"Clackmannanshire",2016,1.156,"Coal","All"
"Clackmannanshire",2016,1099.814,"Gas","All"
"Clackmannanshire",2016,12.371,"Bioenergy & Wastes","All"
"Clackmannanshire",2017,2.808,"Manufactured Fuels","All"
"Clackmannanshire",2017,308.395,"Electricity","All"
"Clackmannanshire",2017,12.558,"Bioenergy & Wastes","All"
"Clackmannanshire",2017,301.893,"Petroleum Products","All"
"Clackmannanshire",2017,1.134,"Coal","All"
"Clackmannanshire",2017,1123.549,"Gas","All"
"Clackmannanshire",2018,300.012,"Electricity","All"
"Clackmannanshire",2018,1134.666,"Gas","All"
"Clackmannanshire",2018,1.115,"Coal","All"
"Clackmannanshire",2018,302.092,"Petroleum Products","All"
"Clackmannanshire",2018,2.875,"Manufactured Fuels","All"
"Clackmannanshire",2018,15.884,"Bioenergy & Wastes","All"
"Clackmannanshire",2019,19.398,"Bioenergy & Wastes","All"
"Clackmannanshire",2019,2.728,"Manufactured Fuels","All"
"Clackmannanshire",2019,298.765,"Electricity","All"
"Clackmannanshire",2019,1114.969,"Gas","All"
"Clackmannanshire",2019,299.613,"Petroleum Products","All"
"Clackmannanshire",2019,1.045,"Coal","All"
"Clackmannanshire",2020,243.695,"Petroleum Products","All"
"Clackmannanshire",2020,296.505,"Electricity","All"
"Clackmannanshire",2020,1130,"Gas","All"
"Clackmannanshire",2020,3.166,"Manufactured Fuels","All"
"Clackmannanshire",2020,18.802,"Bioenergy & Wastes","All"
"Clackmannanshire",2020,0.998,"Coal","All"
"Dumfries and Galloway",2015,1124.248,"Gas","All"
"Dumfries and Galloway",2015,71.472,"Coal","All"
"Dumfries and Galloway",2015,30.184,"Manufactured Fuels","All"
"Dumfries and Galloway",2015,904.78,"Electricity","All"
"Dumfries and Galloway",2015,2916.638,"Petroleum Products","All"
"Dumfries and Galloway",2015,114.23,"Bioenergy & Wastes","All"
"Dumfries and Galloway",2016,869.409,"Electricity","All"
"Dumfries and Galloway",2016,119.651,"Bioenergy & Wastes","All"
"Dumfries and Galloway",2016,3004.757,"Petroleum Products","All"
"Dumfries and Galloway",2016,48.463,"Coal","All"
"Dumfries and Galloway",2016,1192.655,"Gas","All"
"Dumfries and Galloway",2016,17.984,"Manufactured Fuels","All"
"Dumfries and Galloway",2017,19.692,"Manufactured Fuels","All"
"Dumfries and Galloway",2017,43.734,"Coal","All"
"Dumfries and Galloway",2017,875.181,"Electricity","All"
"Dumfries and Galloway",2017,3088.237,"Petroleum Products","All"
"Dumfries and Galloway",2017,1207.458,"Gas","All"
"Dumfries and Galloway",2017,146.73,"Bioenergy & Wastes","All"
"Dumfries and Galloway",2018,20.213,"Manufactured Fuels","All"
"Dumfries and Galloway",2018,41.448,"Coal","All"
"Dumfries and Galloway",2018,195.134,"Bioenergy & Wastes","All"
"Dumfries and Galloway",2018,1188.441,"Gas","All"
"Dumfries and Galloway",2018,849.401,"Electricity","All"
"Dumfries and Galloway",2018,3018.986,"Petroleum Products","All"
"Dumfries and Galloway",2019,19.2,"Manufactured Fuels","All"
"Dumfries and Galloway",2019,1161.469,"Gas","All"
"Dumfries and Galloway",2019,30.937,"Coal","All"
"Dumfries and Galloway",2019,821.147,"Electricity","All"
"Dumfries and Galloway",2019,2972.436,"Petroleum Products","All"
"Dumfries and Galloway",2019,222.979,"Bioenergy & Wastes","All"
"Dumfries and Galloway",2020,246.491,"Bioenergy & Wastes","All"
"Dumfries and Galloway",2020,23.173,"Manufactured Fuels","All"
"Dumfries and Galloway",2020,1191.305,"Gas","All"
"Dumfries and Galloway",2020,30.486,"Coal","All"
"Dumfries and Galloway",2020,2519.965,"Petroleum Products","All"
"Dumfries and Galloway",2020,806.587,"Electricity","All"
"Dundee City",2015,22.251,"Bioenergy & Wastes","All"
"Dundee City",2015,1409.321,"Gas","All"
"Dundee City",2015,0.681,"Manufactured Fuels","All"
"Dundee City",2015,814.083,"Petroleum Products","All"
"Dundee City",2015,713.933,"Electricity","All"
"Dundee City",2015,0.18,"Coal","All"
"Dundee City",2016,0.193,"Coal","All"
"Dundee City",2016,0.658,"Manufactured Fuels","All"
"Dundee City",2016,1409.992,"Gas","All"
"Dundee City",2016,676.996,"Electricity","All"
"Dundee City",2016,811.047,"Petroleum Products","All"
"Dundee City",2016,22.465,"Bioenergy & Wastes","All"
"Dundee City",2017,649.891,"Electricity","All"
"Dundee City",2017,22.394,"Bioenergy & Wastes","All"
"Dundee City",2017,819.905,"Petroleum Products","All"
"Dundee City",2017,0.751,"Manufactured Fuels","All"
"Dundee City",2017,1445.633,"Gas","All"
"Dundee City",2017,0.171,"Coal","All"
"Dundee City",2018,0.786,"Manufactured Fuels","All"
"Dundee City",2018,817.066,"Petroleum Products","All"
"Dundee City",2018,633.263,"Electricity","All"
"Dundee City",2018,0.168,"Coal","All"
"Dundee City",2018,1425.532,"Gas","All"
"Dundee City",2018,29.389,"Bioenergy & Wastes","All"
"Dundee City",2019,800.261,"Petroleum Products","All"
"Dundee City",2019,612.727,"Electricity","All"
"Dundee City",2019,0.862,"Manufactured Fuels","All"
"Dundee City",2019,1353.987,"Gas","All"
"Dundee City",2019,0.157,"Coal","All"
"Dundee City",2019,37.003,"Bioenergy & Wastes","All"
"Dundee City",2020,1700.081,"Gas","All"
"Dundee City",2020,565.028,"Electricity","All"
"Dundee City",2020,0.821,"Manufactured Fuels","All"
"Dundee City",2020,653.076,"Petroleum Products","All"
"Dundee City",2020,35.579,"Bioenergy & Wastes","All"
"Dundee City",2020,0.159,"Coal","All"
"East Ayrshire",2015,460.266,"Electricity","All"
"East Ayrshire",2015,80.287,"Coal","All"
"East Ayrshire",2015,320.76,"Bioenergy & Wastes","All"
"East Ayrshire",2015,1031.401,"Gas","All"
"East Ayrshire",2015,5.658,"Manufactured Fuels","All"
"East Ayrshire",2015,1077.642,"Petroleum Products","All"
"East Ayrshire",2016,433.17,"Electricity","All"
"East Ayrshire",2016,66.211,"Coal","All"
"East Ayrshire",2016,5.523,"Manufactured Fuels","All"
"East Ayrshire",2016,1082.455,"Petroleum Products","All"
"East Ayrshire",2016,1036.84,"Gas","All"
"East Ayrshire",2016,195.832,"Bioenergy & Wastes","All"
"East Ayrshire",2017,6.134,"Manufactured Fuels","All"
"East Ayrshire",2017,1112.434,"Petroleum Products","All"
"East Ayrshire",2017,58.813,"Coal","All"
"East Ayrshire",2017,1065.842,"Gas","All"
"East Ayrshire",2017,267.85,"Bioenergy & Wastes","All"
"East Ayrshire",2017,435.248,"Electricity","All"
"East Ayrshire",2018,315.246,"Bioenergy & Wastes","All"
"East Ayrshire",2018,424.158,"Electricity","All"
"East Ayrshire",2018,6.335,"Manufactured Fuels","All"
"East Ayrshire",2018,55.141,"Coal","All"
"East Ayrshire",2018,1055.234,"Gas","All"
"East Ayrshire",2018,1113.124,"Petroleum Products","All"
"East Ayrshire",2019,416.739,"Electricity","All"
"East Ayrshire",2019,328.059,"Bioenergy & Wastes","All"
"East Ayrshire",2019,1122.027,"Petroleum Products","All"
"East Ayrshire",2019,39.095,"Coal","All"
"East Ayrshire",2019,1028.613,"Gas","All"
"East Ayrshire",2019,6.539,"Manufactured Fuels","All"
"East Ayrshire",2020,1079.673,"Gas","All"
"East Ayrshire",2020,338.678,"Bioenergy & Wastes","All"
"East Ayrshire",2020,38.627,"Coal","All"
"East Ayrshire",2020,394.22,"Electricity","All"
"East Ayrshire",2020,912.147,"Petroleum Products","All"
"East Ayrshire",2020,6.278,"Manufactured Fuels","All"
"East Dunbartonshire",2015,17.538,"Bioenergy & Wastes","All"
"East Dunbartonshire",2015,1.942,"Manufactured Fuels","All"
"East Dunbartonshire",2015,889.085,"Gas","All"
"East Dunbartonshire",2015,360.717,"Electricity","All"
"East Dunbartonshire",2015,507.361,"Petroleum Products","All"
"East Dunbartonshire",2015,1.391,"Coal","All"
"East Dunbartonshire",2016,1.849,"Manufactured Fuels","All"
"East Dunbartonshire",2016,509.247,"Petroleum Products","All"
"East Dunbartonshire",2016,897.577,"Gas","All"
"East Dunbartonshire",2016,346.304,"Electricity","All"
"East Dunbartonshire",2016,18.274,"Bioenergy & Wastes","All"
"East Dunbartonshire",2016,3.225,"Coal","All"
"East Dunbartonshire",2017,18.451,"Bioenergy & Wastes","All"
"East Dunbartonshire",2017,515.75,"Petroleum Products","All"
"East Dunbartonshire",2017,345.149,"Electricity","All"
"East Dunbartonshire",2017,3.468,"Coal","All"
"East Dunbartonshire",2017,2.058,"Manufactured Fuels","All"
"East Dunbartonshire",2017,927.451,"Gas","All"
"East Dunbartonshire",2018,2.128,"Manufactured Fuels","All"
"East Dunbartonshire",2018,3.197,"Coal","All"
"East Dunbartonshire",2018,516.002,"Petroleum Products","All"
"East Dunbartonshire",2018,917.681,"Gas","All"
"East Dunbartonshire",2018,337.438,"Electricity","All"
"East Dunbartonshire",2018,23.48,"Bioenergy & Wastes","All"
"East Dunbartonshire",2019,915.26,"Gas","All"
"East Dunbartonshire",2019,508.291,"Petroleum Products","All"
"East Dunbartonshire",2019,330.003,"Electricity","All"
"East Dunbartonshire",2019,2.219,"Manufactured Fuels","All"
"East Dunbartonshire",2019,28.892,"Bioenergy & Wastes","All"
"East Dunbartonshire",2019,1.67,"Coal","All"
"East Dunbartonshire",2020,2.148,"Manufactured Fuels","All"
"East Dunbartonshire",2020,1.992,"Coal","All"
"East Dunbartonshire",2020,936.32,"Gas","All"
"East Dunbartonshire",2020,421.956,"Petroleum Products","All"
"East Dunbartonshire",2020,323.629,"Electricity","All"
"East Dunbartonshire",2020,28.211,"Bioenergy & Wastes","All"
"East Lothian",2015,433.052,"Coal","All"
"East Lothian",2015,727.394,"Gas","All"
"East Lothian",2015,182.76,"Bioenergy & Wastes","All"
"East Lothian",2015,468.363,"Electricity","All"
"East Lothian",2015,884.736,"Petroleum Products","All"
"East Lothian",2015,6.205,"Manufactured Fuels","All"
"East Lothian",2016,903.805,"Petroleum Products","All"
"East Lothian",2016,4.864,"Manufactured Fuels","All"
"East Lothian",2016,83.422,"Bioenergy & Wastes","All"
"East Lothian",2016,740.855,"Gas","All"
"East Lothian",2016,576.633,"Coal","All"
"East Lothian",2016,462.046,"Electricity","All"
"East Lothian",2017,486.305,"Electricity","All"
"East Lothian",2017,965.57,"Petroleum Products","All"
"East Lothian",2017,770.827,"Gas","All"
"East Lothian",2017,169.79,"Bioenergy & Wastes","All"
"East Lothian",2017,580.396,"Coal","All"
"East Lothian",2017,5.516,"Manufactured Fuels","All"
"East Lothian",2018,5.681,"Manufactured Fuels","All"
"East Lothian",2018,976.734,"Petroleum Products","All"
"East Lothian",2018,503.185,"Coal","All"
"East Lothian",2018,767.889,"Gas","All"
"East Lothian",2018,289.331,"Bioenergy & Wastes","All"
"East Lothian",2018,478.806,"Electricity","All"
"East Lothian",2019,466.791,"Electricity","All"
"East Lothian",2019,813.001,"Gas","All"
"East Lothian",2019,294.25,"Bioenergy & Wastes","All"
"East Lothian",2019,500.605,"Coal","All"
"East Lothian",2019,5.682,"Manufactured Fuels","All"
"East Lothian",2019,950.16,"Petroleum Products","All"
"East Lothian",2020,454.057,"Electricity","All"
"East Lothian",2020,325.701,"Coal","All"
"East Lothian",2020,773.129,"Petroleum Products","All"
"East Lothian",2020,839.84,"Gas","All"
"East Lothian",2020,292.498,"Bioenergy & Wastes","All"
"East Lothian",2020,5.926,"Manufactured Fuels","All"
"East Renfrewshire",2015,1.905,"Manufactured Fuels","All"
"East Renfrewshire",2015,247.207,"Electricity","All"
"East Renfrewshire",2015,22.264,"Bioenergy & Wastes","All"
"East Renfrewshire",2015,625.171,"Petroleum Products","All"
"East Renfrewshire",2015,0.866,"Coal","All"
"East Renfrewshire",2015,737.86,"Gas","All"
"East Renfrewshire",2016,635.379,"Petroleum Products","All"
"East Renfrewshire",2016,746.451,"Gas","All"
"East Renfrewshire",2016,23.307,"Bioenergy & Wastes","All"
"East Renfrewshire",2016,1.847,"Manufactured Fuels","All"
"East Renfrewshire",2016,236.822,"Electricity","All"
"East Renfrewshire",2016,0.859,"Coal","All"
"East Renfrewshire",2017,632.451,"Petroleum Products","All"
"East Renfrewshire",2017,0.847,"Coal","All"
"East Renfrewshire",2017,235.669,"Electricity","All"
"East Renfrewshire",2017,23.237,"Bioenergy & Wastes","All"
"East Renfrewshire",2017,2.087,"Manufactured Fuels","All"
"East Renfrewshire",2017,758.067,"Gas","All"
"East Renfrewshire",2018,630.94,"Petroleum Products","All"
"East Renfrewshire",2018,0.829,"Coal","All"
"East Renfrewshire",2018,767.748,"Gas","All"
"East Renfrewshire",2018,225.717,"Electricity","All"
"East Renfrewshire",2018,2.174,"Manufactured Fuels","All"
"East Renfrewshire",2018,30.118,"Bioenergy & Wastes","All"
"East Renfrewshire",2019,769.989,"Gas","All"
"East Renfrewshire",2019,37.21,"Bioenergy & Wastes","All"
"East Renfrewshire",2019,0.779,"Coal","All"
"East Renfrewshire",2019,620.316,"Petroleum Products","All"
"East Renfrewshire",2019,223.196,"Electricity","All"
"East Renfrewshire",2019,2.334,"Manufactured Fuels","All"
"East Renfrewshire",2020,35.96,"Bioenergy & Wastes","All"
"East Renfrewshire",2020,2.229,"Manufactured Fuels","All"
"East Renfrewshire",2020,0.742,"Coal","All"
"East Renfrewshire",2020,788.622,"Gas","All"
"East Renfrewshire",2020,499.469,"Petroleum Products","All"
"East Renfrewshire",2020,223.629,"Electricity","All"
"Falkirk",2015,1348.307,"Gas","All"
"Falkirk",2015,2.68,"Coal","All"
"Falkirk",2015,13761.496,"Petroleum Products","All"
"Falkirk",2015,730.313,"Electricity","All"
"Falkirk",2015,669.339,"Manufactured Fuels","All"
"Falkirk",2015,43.303,"Bioenergy & Wastes","All"
"Falkirk",2016,707.139,"Electricity","All"
"Falkirk",2016,682.893,"Manufactured Fuels","All"
"Falkirk",2016,14752.047,"Petroleum Products","All"
"Falkirk",2016,45.189,"Bioenergy & Wastes","All"
"Falkirk",2016,1360.256,"Gas","All"
"Falkirk",2016,2.718,"Coal","All"
"Falkirk",2017,629.469,"Manufactured Fuels","All"
"Falkirk",2017,1373.258,"Gas","All"
"Falkirk",2017,15283.293,"Petroleum Products","All"
"Falkirk",2017,45.228,"Bioenergy & Wastes","All"
"Falkirk",2017,705.867,"Electricity","All"
"Falkirk",2017,2.636,"Coal","All"
"Falkirk",2018,2.597,"Coal","All"
"Falkirk",2018,60.151,"Bioenergy & Wastes","All"
"Falkirk",2018,683.387,"Electricity","All"
"Falkirk",2018,1373.353,"Gas","All"
"Falkirk",2018,15226.518,"Petroleum Products","All"
"Falkirk",2018,744.133,"Manufactured Fuels","All"
"Falkirk",2019,76.48,"Bioenergy & Wastes","All"
"Falkirk",2019,13612.237,"Petroleum Products","All"
"Falkirk",2019,1275.376,"Gas","All"
"Falkirk",2019,574.462,"Manufactured Fuels","All"
"Falkirk",2019,2.46,"Coal","All"
"Falkirk",2019,668.338,"Electricity","All"
"Falkirk",2020,1327.393,"Gas","All"
"Falkirk",2020,35.112,"Manufactured Fuels","All"
"Falkirk",2020,72.716,"Bioenergy & Wastes","All"
"Falkirk",2020,13299.174,"Petroleum Products","All"
"Falkirk",2020,2.317,"Coal","All"
"Falkirk",2020,628.864,"Electricity","All"
"Fife",2015,297.7,"Bioenergy & Wastes","All"
"Fife",2015,13.617,"Coal","All"
"Fife",2015,1630.403,"Electricity","All"
"Fife",2015,6774.937,"Petroleum Products","All"
"Fife",2015,3379.04,"Gas","All"
"Fife",2015,36.145,"Manufactured Fuels","All"
"Fife",2016,1571.237,"Electricity","All"
"Fife",2016,278.162,"Bioenergy & Wastes","All"
"Fife",2016,14.282,"Coal","All"
"Fife",2016,3378.961,"Gas","All"
"Fife",2016,21.292,"Manufactured Fuels","All"
"Fife",2016,7129.495,"Petroleum Products","All"
"Fife",2017,26.139,"Manufactured Fuels","All"
"Fife",2017,3476.165,"Gas","All"
"Fife",2017,8372.587,"Petroleum Products","All"
"Fife",2017,13.598,"Coal","All"
"Fife",2017,1561.918,"Electricity","All"
"Fife",2017,195.77,"Bioenergy & Wastes","All"
"Fife",2018,192.186,"Bioenergy & Wastes","All"
"Fife",2018,1510.249,"Electricity","All"
"Fife",2018,13.142,"Coal","All"
"Fife",2018,6943.794,"Petroleum Products","All"
"Fife",2018,3414.21,"Gas","All"
"Fife",2018,26.261,"Manufactured Fuels","All"
"Fife",2019,3273.248,"Gas","All"
"Fife",2019,24.638,"Manufactured Fuels","All"
"Fife",2019,10.35,"Coal","All"
"Fife",2019,6533.589,"Petroleum Products","All"
"Fife",2019,1474.86,"Electricity","All"
"Fife",2019,227.489,"Bioenergy & Wastes","All"
"Fife",2020,170.671,"Bioenergy & Wastes","All"
"Fife",2020,1442.939,"Electricity","All"
"Fife",2020,6800.05,"Petroleum Products","All"
"Fife",2020,10.307,"Coal","All"
"Fife",2020,3450.123,"Gas","All"
"Fife",2020,29.694,"Manufactured Fuels","All"
"Glasgow City",2015,5204.432,"Gas","All"
"Glasgow City",2015,3410.752,"Petroleum Products","All"
"Glasgow City",2015,89.177,"Bioenergy & Wastes","All"
"Glasgow City",2015,1.146,"Coal","All"
"Glasgow City",2015,3.961,"Manufactured Fuels","All"
"Glasgow City",2015,3008.719,"Electricity","All"
"Glasgow City",2016,3428.281,"Petroleum Products","All"
"Glasgow City",2016,1.137,"Coal","All"
"Glasgow City",2016,2.757,"Manufactured Fuels","All"
